ra_epoch2000,dec_epoch2000,Source,Gmag,parallax,parallax_error,bp_rp,teff_val,a_g_val,e_bp_min_rp_val
115.5339921975317,-14.4083480320031,3029610385174012800,19.366,0.3524,0.3067,1.952135,,,
115.4969749214241,-14.6255457374256,3029591388540994048,17.334,0.6001,0.1122,1.272839,,,
115.6353937365529,-14.6492186125798,3029590529547137536,15.603,0.5656,0.0407,0.881113,5769.69,0.445,0.2263
115.5132951081634,-14.5725944469662,3029603753743839616,19.015,1.0732,0.3283,2.351976,,,
115.6328583391635,-14.4585113527624,3029606330724690176,18.943,0.6179,0.2601,1.907417,,,
115.4657663561567,-14.5279820963878,3029605063716861312,16.981,0.8179,0.0943,1.163458,4952.33,0.04,0.023
115.8351850345069,-14.6087847911116,3029594407897253632,19.713,-0.0726,0.4356,1.979271,,,
115.5818877082331,-14.28986231512,3029618189135414784,14.014,0.5285,0.0272,0.550606,7185.0,,
115.7269386853057,-14.5252143135378,3029599012100152192,18.399,0.949,0.2194,1.535997,,,
115.715307299626,-14.3246978968245,3029615440348980352,19.013,0.6847,0.2685,2.063114,,,
115.4619504753928,-14.5736037341065,3029604269139908864,19.05,0.5619,0.3263,2.047836,,,
115.5502958627103,-14.4870649260973,3029606575539693440,19.85,1.1963,0.5359,2.117706,,,
115.47003198876,-14.6085174320602,3029603410146312448,18.814,0.8162,0.2974,1.642374,,,
115.9625148937881,-14.4708964005014,3029597397194702976,19.909,-0.076,0.6168,2.305624,,,
115.4570803346659,-14.5294365654399,3029604681456954880,19.039,0.7462,0.3363,1.929104,,,
115.8567359929105,-14.4149121636723,3029601765175286016,19.252,0.5563,0.3699,2.031828,,,
115.4370983054621,-14.5587710270671,3029604548320463488,16.736,0.6377,0.0736,1.292839,4797.17,0.844,0.401
115.7338090983361,-14.5810241268316,3029589773632754688,14.144,0.6238,0.026,0.558068,7116.11,0.4023,0.1927
115.6296266956608,-14.4901435674832,3029605918409788032,19.921,0.5467,0.4837,1.982044,,,
115.5694245161947,-14.6786283445986,3029590048507747968,19.892,0.5482,0.5993,2.030598,,,
