#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],plate,mjd,fiber
spec-7823-56978-0720.fits,sdssdr12,-74.465,M6,0,7823,56978,720
spec-7825-57030-0624.fits,sdssdr12,-1.805,M3,0.5,7825,57030,624
spec-7403-57071-0689.fits,sdssdr12,-42.91,M3,-1,7403,57071,689
spec-7434-57166-0265.fits,sdssdr12,-53.42166667,K4,-1,7434,57166,265
spec-7285-56991-0846.fits,sdssdr12,14.56833333,M3,0.5,7285,56991,846
spec-8369-57451-0830.fits,sdssdr12,20.59,K7,0.5,8369,57451,830
spec-7669-57329-0911.fits,sdssdr12,-23.45,M0,0.5,7669,57329,911
spec-7697-57574-0290.fits,sdssdr12,-70.02166666,M5,0.5,7697,57574,290
spec-7295-57067-0542.fits,sdssdr12,116.9,G4,-1.5,7295,57067,542
spec-8284-57419-0521.fits,sdssdr12,-86.41,M0,0.5,8284,57419,521
spec-8822-58167-0572.fits,sdssdr12,-58.6775,M4,0.5,8822,58167,572
spec-7410-57104-0074.fits,sdssdr12,-9.378333333,M3,0.5,7410,57104,74
spec-7405-57134-0176.fits,sdssdr12,-29.95166667,M5,0.5,7405,57134,176
spec-7280-56709-0894.fits,sdssdr12,31.195,M3,0.5,7280,56709,894
spec-11352-58456-0297.fits,sdssdr12,39.91,M1,0.5,11352,58456,297
spec-7765-58047-0824.fits,sdssdr12,-22.1,M5,0.5,7765,58047,824
spec-8190-57448-0718.fits,sdssdr12,-121.165,F5,-1,8190,57448,718
spec-7703-57333-0298.fits,sdssdr12,-37.1,M3,0.5,7703,57333,298
spec-8732-57418-0540.fits,sdssdr12,6.753333333,M6,-0.5,8732,57418,540
spec-3225-54853-0415.fits,sdssdr12,-33.1,A6,-1.5,3225,54853,415
spec-7669-57329-0442.fits,sdssdr12,-32.32333333,M5,0.5,7669,57329,442
spec-7853-56988-0553.fits,sdssdr12,-47.915,M4,0.5,7853,56988,553
spec-8368-57431-0950.fits,sdssdr12,-92.455,M1,0.5,8368,57431,950
spec-7614-57307-0980.fits,sdssdr12,-45.78333333,G7+K1,0,7614,57307,980
spec-7515-56781-0680.fits,sdssdr12,7.5175,M6,-0.5,7515,56781,680
spec-8529-58013-0752.fits,sdssdr12,-225.4,F4,-1.5,8529,58013,752
spec-7720-58101-0934.fits,sdssdr12,-38.965,M4,0.5,7720,58101,934
spec-7317-56992-0750.fits,sdssdr12,45.455,M2,0,7317,56992,750
spec-8401-57482-0559.fits,sdssdr12,0.1,M3,0.5,8401,57482,559
spec-7298-56661-0946.fits,sdssdr12,-111.145,K5,-2,7298,56661,946
spec-7374-56751-0806.fits,sdssdr12,7.875,M1,-0.5,7374,56751,806
spec-7432-57107-0123.fits,sdssdr12,-32.0525,M3,0.5,7432,57107,123
spec-7406-56805-0989.fits,sdssdr12,-60.03666666,M3,0.5,7406,56805,989
spec-7286-57096-0740.fits,sdssdr12,-23.04,M3,0.5,7286,57096,740
spec-10739-58255-0930.fits,sdssdr12,-209.8775,K5,-2,10739,58255,930
spec-7306-56684-0905.fits,sdssdr12,-51.63833333,F3,-1,7306,56684,905
spec-8396-57837-0184.fits,sdssdr12,-40.915,M4,0.5,8396,57837,184
spec-7666-57339-0826.fits,sdssdr12,-38.0775,M4,0.5,7666,57339,826
